Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
response to ionizing radiation (GO:0010212)	15/72	5.131118148404697E-8	9.785344139487075E-6	0	0	6.920692141312185	116.16628928852774	BLM;ANXA1;AEN;BRCA1;TICRR;RAD51;MSH2;FANCD2;SMPD1;FIGNL1;RFWD3;NABP1;INTS7;TOPBP1;RHNO1
DNA replication checkpoint signaling (GO:0000076)	8/17	6.440869032320665E-8	1.1106229252371676E-5	0	0	23.212422734810794	384.3516965223071	CDT1;CDC45;TIMELESS;CDC6;CLSPN;DNA2;TOPBP1;TICRR
double-strand break repair via break-induced replication (GO:0000727)	7/12	6.50889437986002E-8	1.1106229252371676E-5	0	0	36.517615176151764	604.2756437976939	CDC45;MCM7;GINS4;MCM3;MCM4;MCM5;MCM6
DNA integrity checkpoint signaling (GO:0031570)	11/39	1.149287781321242E-7	1.7742814224016505E-5	0	0	10.290823277539898	164.43658375771312	CDT1;BRIP1;CDC45;CHEK1;E2F1;TIMELESS;INTS7;CLSPN;CDC6;DNA2;RHNO1
DNA recombination (GO:0006310)	11/39	1.149287781321242E-7	1.7742814224016505E-5	0	0	10.290823277539898	164.43658375771312	RECQL4;GEN1;BLM;RAD51;MSH2;EXO1;XRCC2;XRCC3;RPA1;RAD54L;RHNO1
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	10/32	1.4843425066254128E-7	2.1873810938543586E-5	0	0	11.894248608534323	187.0147425857893	CDT1;POLA1;PCNA;CDC45;CCNE1;E2F1;FBXO5;CDC6;TYMS;E2F7
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	6/9	1.99815766130301E-7	2.6991779741434827E-5	0	0	52.10284167794317	803.7316657039167	RFC5;RFC3;PCNA;RFC4;RFC2;DSCC1
regulation of DNA-directed DNA polymerase activity (GO:1900262)	6/9	1.99815766130301E-7	2.6991779741434827E-5	0	0	52.10284167794317	803.7316657039167	RFC5;RFC3;PCNA;RFC4;RFC2;DSCC1
DNA synthesis involved in DNA repair (GO:0000731)	11/43	3.4424654301139146E-7	4.4641891697717246E-5	0	0	9.002597070844686	133.97581904198847	POLD3;RFC5;POLA1;RFC3;PCNA;RFC4;RFC2;PCLAF;RPA1;POLE;DTL
mitotic DNA replication (GO:1902969)	6/10	4.837500238225309E-7	6.031990681664021E-5	0	0	39.07510148849797	568.2183073217117	POLA1;CDC45;GINS3;MCM3;MCM4;MCM6
interstrand cross-link repair (GO:0036297)	12/55	6.572616467754944E-7	7.892008366096863E-5	0	0	7.31444525524287	104.12247152840604	MSH6;FANCI;RAD51;EME1;MCM8;FANCD2;RFWD3;XRCC3;USP1;FANCA;RPA1;FANCG
postreplication repair (GO:0006301)	11/46	7.210261527064567E-7	8.34845281097976E-5	0	0	8.229661346827559	116.38872978516753	POLD3;RFC5;RFC3;PCNA;RFC4;MSH2;RFC2;PCLAF;RPA1;BRCA1;DTL
base-excision repair (GO:0006284)	11/48	1.1409938212879585E-6	1.275552402970883E-4	0	0	7.7840047131600265	106.51329175633076	POLD3;RFC5;POLQ;FEN1;RFC3;PCNA;RFC4;RFC2;RPA1;DNA2;POLE
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	18/128	1.2676477421953253E-6	1.369904660065748E-4	0	0	4.309240965362011	58.512371488801016	ERCC6L;STIL;NUP107;BUB1B;TTK;WDR62;EML1;ZWINT;DSN1;KIF18A;CENPH;NUF2;BIRC5;KNTC1;CENPN;SPDL1;DLGAP5;CLASP1
nucleotide-excision repair, DNA gap filling (GO:0006297)	8/24	1.5450476082622674E-6	1.6158207567697647E-4	0	0	13.052238805970148	174.64490487392885	RFC5;POLD3;RFC3;PCNA;RFC4;RFC2;RPA1;POLE
sister chromatid segregation (GO:0000819)	9/34	2.9862597043259587E-6	3.0254543629452366E-4	0	0	9.405978260869565	119.65804793246069	TOP2A;DSN1;KIF18A;KIF18B;SPAG5;NCAPG2;SMC1A;SMC4;ZWINT
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	5/8	3.6089703678336E-6	3.545539979550464E-4	0	0	43.36036036036036	543.3958536108595	MCM7;MCM3;MCM4;MCM5;MCM6
base-excision repair, gap-filling (GO:0006287)	9/35	3.887854595184819E-6	3.707183705173289E-4	0	0	9.043739548494983	112.66376975441655	POLD3;RFC5;FEN1;RFC3;PCNA;RFC4;RFC2;RPA1;POLE
mitotic chromosome condensation (GO:0007076)	8/27	4.22317553577215E-6	3.91186716770666E-4	0	0	10.989645076055131	135.9960139902586	CDCA5;NCAPG2;NCAPG;NCAPD3;SMC4;NCAPH;PHF8;SMC2
regulation of signal transduction by p53 class mediator (GO:1901796)	19/156	5.76837048946856E-6	5.194738090793631E-4	0	0	3.6520681265206814	44.055339448123476	BARD1;RFC5;SUPT16H;BLM;RFC3;RMI2;RFC4;RFC2;USP2;RPA1;PRKAG2;BRCA1;BRIP1;EXO1;CHEK1;CDK2;DNA2;TOPBP1;RHNO1
extracellular structure organization (GO:0043062)	23/216	6.288425508891223E-6	5.407419666094286E-4	0	0	3.146312057755515	37.682749734618376	FGB;FGA;SPARC;ITGB4;ITGA1;LAMA3;F11R;FBLN5;DCN;THSD4;VCAN;LOX;ADAMTSL4;CDH1;COL4A4;MMP28;PXDN;ADAM12;ITGA11;COL4A5;ITGA5;CD44;ADAMTS7
mitotic spindle organization (GO:0007052)	19/157	6.3381229892530195E-6	5.407419666094286E-4	0	0	3.6254142212640237	43.39232139231158	ERCC6L;STIL;NUP107;BUB1B;TTK;WDR62;SMC1A;EML1;ZWINT;DSN1;KIF18A;CENPH;NUF2;BIRC5;KNTC1;CENPN;SPDL1;DLGAP5;CLASP1
external encapsulating structure organization (GO:0045229)	23/217	6.792070009375011E-6	5.64612588984456E-4	0	0	3.1299297484079163	37.24539655161613	FGB;FGA;SPARC;ITGB4;ITGA1;LAMA3;F11R;FBLN5;DCN;THSD4;VCAN;LOX;ADAMTSL4;CDH1;COL4A4;MMP28;PXDN;ADAM12;ITGA11;COL4A5;ITGA5;CD44;ADAMTS7
extracellular matrix organization (GO:0030198)	28/300	8.385655866755991E-6	6.796574080005731E-4	0	0	2.7254286651899253	31.85750281698333	SPARC;ITGB4;LAMA3;F11R;FBLN5;THSD4;FLRT2;ADAMTSL4;CTSL;CDH1;MMP28;ADAMTS7;FGB;FGA;ITGA1;P3H2;DCN;GREM1;VCAN;LOX;P4HA2;COL4A4;PXDN;ADAM12;ITGA11;COL4A5;ITGA5;CD44
mitotic DNA damage checkpoint signaling (GO:0044773)	11/59	9.732552822715952E-6	7.695838110059785E-4	0	0	5.996735921889192	69.20253840666831	BLM;EME1;FANCD2;RFWD3;CHEK1;CDK2;BRCA1;TOPBP1;CLSPN;DTL;TICRR
G1/S transition of mitotic cell cycle (GO:0000082)	13/85	1.4901139078894243E-5	0.0011502260212803604	0	0	4.7316901942926535	52.58834975810243	CDT1;PCNA;CDC6;TYMS;CDC25A;PHF8;POLA1;CDC45;CCNE1;CDK2;E2F1;FBXO5;POLE
DNA duplex unwinding (GO:0032508)	10/51	1.5495100075848616E-5	0.0011682584754860747	0	0	6.375974780155965	70.61383594176289	RECQL4;BLM;ANXA1;RAD51;MCM7;DDX11;HMGA1;RPA1;MCM4;MCM6
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	7/24	1.922354617197135E-5	0.0014003915015259384	0	0	10.733779690738084	116.56213525664991	ACOT7;ACSL1;ELOVL5;ELOVL2;ACSL5;ACSL4;ACSL3
translesion synthesis (GO:0019985)	9/42	1.9437883272260092E-5	0.0014003915015259384	0	0	7.122776679841897	77.26992316708959	POLD3;RFC5;RFC3;PCNA;RFC4;RFC2;PCLAF;RPA1;DTL
negative regulation of cell cycle process (GO:0010948)	11/64	2.1833456146537977E-5	0.0015387840179799158	0	0	5.429592308878721	58.27074887037169	TOM1L2;RAD51;CHEK1;E2F1;DAB2IP;NEK2;BRCA1;FBXO5;E2F7;E2F8;EZH2
mitotic DNA replication initiation (GO:1902975)	4/6	2.69821767049953E-5	0.0017639854224722094	0	0	51.96491228070175	546.6882351351917	POLA1;GINS3;MCM3;MCM4
nuclear cell cycle DNA replication initiation (GO:1902315)	4/6	2.69821767049953E-5	0.0017639854224722094	0	0	51.96491228070175	546.6882351351917	POLA1;GINS3;MCM3;MCM4
nuclear DNA replication (GO:0033260)	5/11	2.7112961219933293E-5	0.0017639854224722094	0	0	21.6768018018018	227.9423805300707	MCM7;MCM3;MCM4;MCM5;MCM6
G2/M transition of mitotic cell cycle (GO:0000086)	16/130	2.7205203924617662E-5	0.0017639854224722094	0	0	3.685125021057445	38.7384111440643	PLK4;TUBB;CDC25C;PKMYT1;MASTL;CDC25A;TUBA4A;WEE1;MELK;HAUS8;CENPJ;CEP70;CDK2;NEK2;NES;CLASP1
cell cycle G2/M phase transition (GO:0044839)	16/131	2.9939386050215557E-5	0.0019032056779372322	0	0	3.6528896045804258	38.04972434224289	PLK4;TUBB;CDC25C;PKMYT1;MASTL;CDC25A;TUBA4A;WEE1;MELK;HAUS8;CENPJ;CEP70;CDK2;NEK2;NES;CLASP1
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	6/18	3.3097834433636715E-5	0.002063522677574043	0	0	13.019621109607577	134.31096733951975	ACSL1;ELOVL5;ELOVL2;ACSL5;ACSL4;ACSL3
chromosome condensation (GO:0030261)	9/45	3.4957392040544746E-5	0.0020987382406564086	0	0	6.528192934782608	66.98827238849432	TOP2A;CDCA5;NCAPG2;NCAPG;NCAPD3;SMC4;NCAPH;PHF8;SMC2
mitotic G2/M transition checkpoint (GO:0044818)	9/45	3.4957392040544746E-5	0.0020987382406564086	0	0	6.528192934782608	66.98827238849432	BLM;CHEK1;NABP1;BRCA1;CLSPN;TOPBP1;CDC6;DTL;TICRR
mitotic cell cycle phase transition (GO:0044772)	21/209	3.7641353283163026E-5	0.0022187866789820823	0	0	2.9417465028799814	29.968769770442833	PLK4;TUBB;CDC25C;PKMYT1;MASTL;CDC25A;TUBA4A;PHF8;CCND3;WEE1;MELK;HAUS8;CCNE1;CENPJ;CEP70;CDK2;E2F1;NEK2;NES;POLE;CLASP1
positive regulation of mitotic cell cycle phase transition (GO:1901992)	10/58	5.0023089533668875E-5	0.0028959795762170445	0	0	5.444160997732427	53.913667192579354	CCND3;ADAM17;ANXA1;CDCA5;UBE2E2;FBXO5;CDC25C;DTL;DLGAP5;CDC25A
cellular response to nitrogen compound (GO:1901699)	6/20	6.483163799129422E-5	0.0036874415853995765	0	0	11.158515368258264	107.60956248983872	BLM;CPS1;ROCK2;DDX11;ATP2B4;TIMELESS
alpha-linolenic acid metabolic process (GO:0036109)	5/13	7.096857730938702E-5	0.003966898752362633	0	0	16.25591216216216	155.29717247114814	ACSL1;ELOVL5;ACOX1;ELOVL2;HSD17B4
regulation of stress fiber assembly (GO:0051492)	11/74	8.755556682485601E-5	0.00475038699918417	0	0	4.565373470005623	42.655365943626954	SFRP1;ROCK1;ROCK2;PXN;LPAR1;RHPN2;F11R;MET;PHLDB2;CGNL1;CLASP1
error-prone translesion synthesis (GO:0042276)	6/21	8.791586056479031E-5	0.00475038699918417	0	0	10.414073071718539	97.2583856914149	RFC5;RFC3;PCNA;RFC4;RFC2;RPA1
regulation of response to interferon-gamma (GO:0060330)	5/14	1.0701540740642209E-4	0.005687605751010172	0	0	14.44894894894895	132.10006106066137	SOCS3;IFNGR1;STAT1;JAK2;JAK1
error-free translesion synthesis (GO:0070987)	6/22	1.17093280052416E-4	0.006122845385966656	0	0	9.762686062246278	88.37710291704195	RFC5;RFC3;PCNA;RFC4;RFC2;RPA1
regulation of DNA replication (GO:0006275)	9/53	1.3400286959850232E-4	0.006895830210132453	0	0	5.339025444664031	47.61155675062215	CDT1;BLM;PCNA;ATAD5;DSCC1;FBXO5;ESCO2;DNA2;CDC6
supramolecular fiber organization (GO:0097435)	28/351	1.3794978033175668E-4	0.006988018559930549	0	0	2.2889317805959646	20.345446748496016	ITGB4;LAMA3;FBLN5;FIGNL1;TSPAN5;CHP1;CGNL1;TMOD1;FGA;MARCKSL1;P3H2;KIF24;SHROOM3;EMP2;BACE1;GREM1;KIF18A;KIF18B;ACTC1;LOX;P4HA2;MYO5B;CENPJ;COL4A4;PXDN;SAA1;COL4A5;TUBGCP3
chromosome organization (GO:0051276)	13/106	1.5682041648004802E-4	0.007821719849666396	0	0	3.6592337975204186	32.05638561276397	TOP2A;CDT1;CENPV;HMGB2;MSH6;MSH2;CENPH;RFWD3;NUF2;POLE3;PADI3;COPS8;EZH2
negative regulation of signal transduction (GO:0009968)	23/267	1.7618087246722033E-4	0.008572399159828258	0	0	2.482022841832796	21.454603970876892	LYN;KANK2;LEPROT;IGFBP5;HHIP;IGFBP3;DAB2IP;NR0B1;PTK6;PTPN12;DCN;SFRP4;SFRP1;UBASH3B;CILP;FRZB;KIF26A;SFRP5;SMPD1;CRY1;XDH;TNS2;EZH2
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	7/33	1.7715939040977583E-4	0.008572399159828258	0	0	7.014957264957265	60.59843278453063	BLM;CHEK1;BRCA1;CLSPN;TOPBP1;DTL;TICRR
negative regulation of stress fiber assembly (GO:0051497)	6/24	1.9819994965726795E-4	0.009449474070424452	0	0	8.677041046459179	73.98248403894432	RHPN2;F11R;MET;PHLDB2;CGNL1;CLASP1
negative regulation of nitric oxide biosynthetic process (GO:0045019)	4/9	2.0715857260737342E-4	0.009594401319901495	0	0	20.78272604588394	176.27962281178802	ROCK2;ATP2B4;SIRPA;GLA
negative regulation of nitric oxide metabolic process (GO:1904406)	4/9	2.0715857260737342E-4	0.009594401319901495	0	0	20.78272604588394	176.27962281178802	ROCK2;ATP2B4;SIRPA;GLA
protein phosphorylation (GO:0006468)	35/496	2.427578023946037E-4	0.011084799934694438	0	0	2.0096850080963002	16.727505264141858	ROCK1;ROCK2;PRKAG2;TTK;RPS6KA3;AKT3;CHEK1;MKNK2;PTK2B;NEK2;CLSPN;JAK2;EPHB2;MAP4K5;STK32B;JAK1;LYN;PLK4;IGFBP3;DAB2IP;PTK6;CDC42BPB;PASK;HASPIN;MASTL;PTK2;MELK;CCNE1;CDK2;FAM20B;CRY1;BIRC5;ULK2;COQ8B;COPS8
protein-DNA complex assembly (GO:0065004)	15/143	2.9426333973153903E-4	0.013250024269578466	0	0	3.0704730308219177	24.96612514836137	CDT1;CENPV;MCM7;MCM8;HMGB2;RPA1;CDC6;CHAF1B;ORC6;CHAF1A;RAD51;MCM3;MCM4;MCM5;MCM6
DNA biosynthetic process (GO:0071897)	5/17	3.0136426204945704E-4	0.01338387585704575	0	0	10.835022522522523	87.84159547540362	POLD3;POLA1;RFC3;TYMS;POLE
DNA geometric change (GO:0032392)	6/26	3.181467544741708E-4	0.013938267270341375	0	0	7.8085250338295	62.88203483732206	RECQL4;BLM;ANXA1;DDX11;HMGB2;DNA2
DNA replication-dependent nucleosome assembly (GO:0006335)	4/10	3.350937337429696E-4	0.014108751750580616	0	0	17.31803868645974	138.56336388989425	CHAF1B;CHAF1A;HAT1;ASF1B
DNA replication-dependent nucleosome organization (GO:0034723)	4/10	3.350937337429696E-4	0.014108751750580616	0	0	17.31803868645974	138.56336388989425	CHAF1B;CHAF1A;HAT1;ASF1B
mitotic DNA replication checkpoint signaling (GO:0033314)	4/10	3.350937337429696E-4	0.014108751750580616	0	0	17.31803868645974	138.56336388989425	CDC6;CLSPN;TOPBP1;TICRR
positive regulation of cell cycle process (GO:0090068)	12/101	3.7409407609383024E-4	0.015202287951608887	0	0	3.5254840044759876	27.81960574356956	GEN1;PLK4;FEN1;CENPV;EDN3;SPAG5;DDX11;XRCC3;CDC6;E2F7;RHNO1;E2F8
centromere complex assembly (GO:0034508)	7/37	3.751335706751114E-4	0.015202287951608887	0	0	6.078364950316169	47.94753106887471	HELLS;CENPV;CENPH;MIS18BP1;HJURP;CENPN;DLGAP5
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	7/37	3.751335706751114E-4	0.015202287951608887	0	0	6.078364950316169	47.94753106887471	POLD3;RFC5;RFC3;PCNA;RFC4;RFC2;RPA1
negative regulation of actin filament bundle assembly (GO:0032232)	6/27	3.9626375954117095E-4	0.015860334672005878	0	0	7.436303885559637	58.251769731200824	RHPN2;F11R;MET;PHLDB2;CGNL1;CLASP1
negative regulation of response to stimulus (GO:0048585)	9/61	4.0229317337851003E-4	0.01590529839137963	0	0	4.515755643812709	35.30566533060085	LYN;RBL1;UBASH3B;KIF26A;HHIP;IGFBP3;AKT3;PTK6;FBXO5
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	10/75	4.500910080807258E-4	0.017529102008128957	0	0	4.016745159602302	30.95328223912858	RFC5;POLD3;EXD2;FEN1;RFC3;RFC4;PCNA;RFC2;RPA1;DNA2
DNA replication, synthesis of RNA primer (GO:0006269)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	POLA1;POLA2;PRIM1
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	RAD51;XRCC3;RAD54L
glomerular visceral epithelial cell migration (GO:0090521)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	KANK2;ANLN;ROCK1
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	PHLDB1;PHLDB2;CLASP1
pyridine-containing compound metabolic process (GO:0072524)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	NNMT;PNPO;AOX1
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	PHLDB1;PHLDB2;CLASP1
trophoblast giant cell differentiation (GO:0060707)	3/5	4.86619118054166E-4	0.017529102008128957	0	0	38.921159029649594	296.8917235383802	PLK4;E2F7;E2F8
formation of extrachromosomal circular DNA (GO:0001325)	4/11	5.11083941542494E-4	0.017626958920008144	0	0	14.843262001156738	112.49673703818584	BLM;EXO1;XRCC3;DNA2
interleukin-35-mediated signaling pathway (GO:0070757)	4/11	5.11083941542494E-4	0.017626958920008144	0	0	14.843262001156738	112.49673703818584	STAT1;STAT4;JAK2;JAK1
t-circle formation (GO:0090656)	4/11	5.11083941542494E-4	0.017626958920008144	0	0	14.843262001156738	112.49673703818584	BLM;EXO1;XRCC3;DNA2
telomere maintenance via telomere trimming (GO:0090737)	4/11	5.11083941542494E-4	0.017626958920008144	0	0	14.843262001156738	112.49673703818584	BLM;EXO1;XRCC3;DNA2
nucleotide-excision repair, DNA incision (GO:0033683)	7/39	5.253862211293705E-4	0.0177906152847074	0	0	5.697874322493225	43.02679657526122	POLD3;RFC5;RFC3;PCNA;RFC4;RFC2;RPA1
DNA double-strand break processing (GO:0000729)	5/19	5.322916972907519E-4	0.0177906152847074	0	0	9.286196911196912	70.00231383066291	BARD1;EXD2;BLM;BRCA1;DNA2
regulation of leukocyte chemotaxis (GO:0002688)	5/19	5.322916972907519E-4	0.0177906152847074	0	0	9.286196911196912	70.00231383066291	LYN;ADAM17;EDN3;PTK2B;SLC8B1
regulation of cell population proliferation (GO:0042127)	47/764	5.459057353618183E-4	0.018016745030203375	0	0	1.740949435126462	13.079864949888082	KANK2;SHC1;UHRF1;RTKN2;CDCA7;HMGB2;TTK;TNFRSF11A;CXCL5;FRZB;STAT4;PTK2B;FBXO5;JAK2;E2F7;TNS2;IL13RA1;KCNH1;KRT6A;LYN;EDN3;STAT1;STAT2;IGFBP3;ITGA1;GLP2R;DAB2IP;P3H2;HMGA1;EMP2;CDC6;SOD2;ALOX15B;PTK2;GREM1;SFRP4;SFRP1;ADAM17;SFRP5;CDK2;TRNP1;TIMELESS;BIRC5;COPS8;PLPP1;GSDME;EZH2
blood circulation (GO:0008015)	8/51	5.501720413294677E-4	0.018016745030203375	0	0	4.849831182354611	36.399338678612544	CYB5R3;ACE;ACTC1;EDN3;ROCK1;ROCK2;STAT1;SERPING1
negative regulation of protein phosphorylation (GO:0001933)	15/152	5.660831534546831E-4	0.018352415835000826	0	0	2.8674132586741328	21.438988215194332	LYN;SEMA4D;IGFBP3;DAB2IP;PRKAG2;GREM1;SFRP1;UBASH3B;PARD3;CHP1;SIRPA;PMEPA1;GPD1L;EPHB2;XDH
pre-replicative complex assembly (GO:0036388)	9/64	5.785731827791579E-4	0.018571626322475544	0	0	4.2687747035573125	31.823482830657678	CDT1;ORC6;MCM7;MCM8;MCM3;MCM4;MCM5;MCM6;CDC6
mismatch repair (GO:0006298)	6/29	5.968230544326543E-4	0.018969611200692797	0	0	6.788962758133788	50.40051191403658	POLD3;MSH6;PCNA;MSH2;EXO1;RPA1
response to peptide hormone (GO:0043434)	8/52	6.292942063378192E-4	0.019807493368419513	0	0	4.739361046009622	34.933411661297185	ANXA1;IGFBP5;ROCK1;ROCK2;STAT1;STAT2;CRY1;STAT4
